date,actual_mean_temp,actual_min_temp,actual_max_temp,average_min_temp,average_max_temp,record_min_temp,record_max_temp,record_min_temp_year,record_max_temp_year,actual_precipitation,average_precipitation,record_precipitation
2014-7-1,76,66,85,65,85,46,96,1988,1970,0.25,0.15,1.18
2014-7-2,72,64,80,65,85,48,97,2001,1970,0.00,0.14,1.66
2014-7-3,64,55,73,65,85,50,99,1968,1970,0.02,0.13,1.03
2014-7-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-7-5,68,55,80,65,85,47,98,1972,1977,0.00,0.13,1.71
2014-7-6,74,65,83,65,85,46,101,1983,2012,0.0,0.14,1.56
2014-7-7,76,70,81,65,85,50,100,1983,1977,0.0,0.14,2.23
2014-7-8,74,67,81,65,85,40,100,1984,1988,1.23,0.15,1.83
2014-7-9,72,63,80,65,85,48,99,1984,1988,0.00,0.15,1.24
2014-7-10,69,59,78,65,85,50,100,1997,1988,0.00,0.15,1.34
2014-7-11,68,55,81,65,85,51,100,1996,1988,0.00,0.14,1.72
2014-7-12,74,67,81,65,85,53,96,1974,1966,0.0,0.16,1.88
2014-7-13,77,70,84,65,85,50,99,1976,1966,0.0,0.15,1.64
2014-7-14,76,66,85,65,85,50,97,1967,1966,0.39,0.15,1.19
2014-7-15,63,57,69,65,85,50,95,1987,1983,0.00,0.16,1.37
2014-7-16,62,54,70,64,85,52,100,1985,1980,0.00,0.15,1.02
2014-7-17,62,49,75,64,85,49,99,2014,1988,0.00,0.16,0.95
2014-7-18,65,53,77,64,85,53,100,2014,1988,0.00,0.15,1.29
2014-7-19,68,60,76,64,85,48,95,1984,1977,0.02,0.14,1.87
2014-7-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-7-21,72,59,84,64,84,48,99,1970,1983,0.00,0.15,1.75
2014-7-22,76,63,88,64,84,48,97,2007,1983,0.00,0.14,1.09
2014-7-23,69,62,76,64,84,50,98,1985,1983,0.02,0.14,0.78
2014-7-24,66,56,76,64,84,53,96,2013,1983,0.00,0.14,1.43
2014-7-25,63,50,76,64,84,49,95,2013,1965,0.0,0.14,2.68
2014-7-26,75,67,83,64,84,35,96,1996,1997,0.09,0.12,1.65
2014-7-27,74,65,83,64,84,32,94,1997,1966,0.10,0.12,0.68
2014-7-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-7-29,61,47,74,64,84,47,96,2014,1993,0.01,0.12,0.63
2014-7-30,69,59,78,64,84,50,95,1997,1999,0.00,0.13,1.77
2014-7-31,69,58,80,64,84,47,94,1993,1975,0.00,0.12,1.37
2014-8-1,70,57,82,64,83,48,93,1992,1975,0.03,0.12,1.10
2014-8-2,72,63,80,64,83,51,95,1992,1988,0.12,0.11,1.23
2014-8-3,71,57,84,63,83,53,98,1965,1988,0.00,0.11,0.93
2014-8-4,72,59,84,63,83,52,95,2013,1988,0.00,0.11,1.87
2014-8-5,72,62,82,63,83,44,93,1993,1982,0.0,0.11,1.36
2014-8-6,71,62,79,63,83,46,91,1997,1965,0.00,0.11,0.76
2014-8-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-8-8,72,60,83,63,83,47,95,1989,2007,0.00,0.10,0.93
2014-8-9,74,63,84,63,83,52,92,1976,1983,0.00,0.11,1.35
2014-8-10,77,66,87,63,83,46,91,1972,2010,0.15,0.10,3.49
2014-8-11,75,70,80,63,83,49,92,1991,1988,0.27,0.10,2.41
2014-8-12,65,60,70,63,83,46,93,2004,2007,0.03,0.10,1.72
2014-8-13,67,55,78,63,83,51,94,2013,1988,0.0,0.09,1.00
